Id,Area,Shape,Style,Utilities,Neighborhood,Price
1,152,1室1厅2卫,复式,不齐全,市中心,2047488.94
2,142,2室1厅1卫,公寓,部分齐全,市中心,2133443.04
3,64,1室1厅2卫,普通住宅,不齐全,远郊区,488820.22
4,156,1室1厅1卫,普通住宅,齐全,市中心,2723646.23
5,121,2室1厅1卫,别墅,不齐全,近郊区,2160596.82
6,70,2室2厅1卫,复式,齐全,市中心,1277929.92
7,152,4室2厅1卫,普通住宅,不齐全,近郊区,1921319.55
8,171,2室2厅2卫,复式,齐全,远郊区,2510837.09
9,124,3室1厅1卫,公寓,部分齐全,市中心,1548032.99
10,137,3室1厅1卫,复式,不齐全,近郊区,1119138.45
11,166,4室1厅2卫,公寓,齐全,近郊区,1891011.54
12,149,3室2厅1卫,普通住宅,齐全,近郊区,1963729.14
13,153,4室1厅2卫,普通住宅,齐全,市中心,2344032.93
14,180,1室2厅2卫,别墅,不齐全,近郊区,2874215.39
15,199,2室1厅1卫,公寓,部分齐全,市中心,2391607.18
16,102,2室2厅1卫,公寓,部分齐全,远郊区,884298.55
17,51,2室1厅2卫,复式,不齐全,远郊区,488896.94
18,137,3室2厅2卫,别墅,不齐全,市中心,3120863.48
19,87,2室2厅2卫,别墅,不齐全,市中心,2011868.14
20,179,2室2厅1卫,别墅,不齐全,远郊区,1715582.98
21,70,2室1厅1卫,公寓,不齐全,远郊区,435395.08
22,107,4室2厅2卫,普通住宅,齐全,近郊区,1315786.83
23,71,2室2厅1卫,普通住宅,齐全,远郊区,853597.94
24,138,2室1厅2卫,复式,部分齐全,近郊区,2075297.85
25,98,4室2厅1卫,复式,不齐全,远郊区,1028587.99
26,108,2室2厅1卫,公寓,齐全,远郊区,762364.07
27,64,4室2厅2卫,普通住宅,齐全,市中心,1064268.36
28,100,2室2厅1卫,别墅,齐全,远郊区,1718015.03
29,157,2室2厅2卫,普通住宅,部分齐全,远郊区,1503240.27
30,104,4室2厅1卫,复式,不齐全,远郊区,1072466.34
31,113,2室2厅1卫,普通住宅,部分齐全,市中心,1646626.92
32,180,1室1厅1卫,别墅,齐全,近郊区,3706952.33
33,100,2室2厅1卫,复式,齐全,远郊区,1011062.41
34,184,4室2厅2卫,公寓,部分齐全,远郊区,1367034.06
35,70,3室1厅1卫,普通住宅,齐全,远郊区,684898.27
36,122,3室2厅1卫,普通住宅,部分齐全,市中心,1664045.47
37,67,3室2厅1卫,公寓,齐全,近郊区,838069.91
38,181,4室1厅2卫,公寓,不齐全,市中心,2189269.92
39,138,2室1厅2卫,别墅,齐全,市中心,4091475.76
40,109,2室1厅2卫,普通住宅,不齐全,近郊区,1191965.21
41,63,2室1厅2卫,复式,部分齐全,市中心,1193404.82
42,58,4室1厅1卫,普通住宅,部分齐全,远郊区,549509.5
43,139,3室2厅1卫,别墅,不齐全,远郊区,1891307.98
44,102,1室1厅1卫,复式,不齐全,近郊区,1206320.34
45,179,1室2厅1卫,复式,不齐全,市中心,2722041.11
46,133,2室1厅2卫,复式,部分齐全,近郊区,1951658.9
47,141,2室2厅2卫,别墅,不齐全,远郊区,1660402.13
48,160,2室1厅2卫,普通住宅,不齐全,市中心,2198554.86
49,57,4室2厅2卫,复式,齐全,市中心,1114730.7
50,84,4室1厅1卫,公寓,齐全,近郊区,1106039.14
51,130,2室1厅2卫,别墅,不齐全,远郊区,1533708.88
52,99,1室1厅1卫,复式,部分齐全,近郊区,1506978.55
53,153,1室1厅1卫,别墅,部分齐全,远郊区,2180172.19
54,181,2室1厅1卫,公寓,齐全,远郊区,1406508.33
55,51,3室1厅1卫,复式,齐全,近郊区,826022.59
56,183,3室2厅1卫,普通住宅,不齐全,市中心,2381369.96
57,103,2室2厅1卫,别墅,不齐全,市中心,2088918.87
58,155,4室2厅1卫,复式,部分齐全,近郊区,2026218.06
59,53,1室1厅2卫,复式,齐全,远郊区,747664.04
60,103,3室2厅2卫,别墅,齐全,近郊区,2209300.12
61,195,4室1厅1卫,公寓,不齐全,市中心,2055043.07
62,93,1室2厅2卫,别墅,不齐全,近郊区,1764791.19
63,63,1室1厅1卫,普通住宅,不齐全,远郊区,491092.42
64,144,2室2厅1卫,公寓,不齐全,远郊区,862186.22
65,97,4室1厅2卫,普通住宅,齐全,市中心,1410968.69
66,64,4室1厅1卫,普通住宅,不齐全,近郊区,630412.43
67,89,4室1厅1卫,别墅,齐全,近郊区,1930461.35
68,131,1室1厅1卫,复式,不齐全,远郊区,1300320.95
69,160,2室2厅2卫,公寓,齐全,远郊区,1537720.42
70,102,4室1厅2卫,普通住宅,部分齐全,市中心,1594300.46
71,73,1室1厅2卫,复式,齐全,市中心,1664311.65
72,173,1室2厅2卫,复式,不齐全,市中心,2781372.35
73,90,4室2厅2卫,复式,齐全,远郊区,1041150.61
74,64,4室1厅1卫,公寓,齐全,近郊区,748702.64
75,94,3室1厅1卫,复式,齐全,远郊区,1136238.11
76,114,1室2厅1卫,别墅,部分齐全,远郊区,1197404.36
77,138,1室2厅1卫,普通住宅,部分齐全,市中心,1877520.82
78,120,1室1厅1卫,复式,部分齐全,市中心,2248809.97
79,58,1室1厅1卫,普通住宅,不齐全,市中心,679604.15
80,137,4室1厅1卫,公寓,部分齐全,远郊区,1026918.25
81,178,1室1厅2卫,普通住宅,部分齐全,近郊区,2239680.6
82,185,3室2厅1卫,复式,不齐全,近郊区,2154618.58
83,112,3室1厅2卫,公寓,齐全,近郊区,1403938.96
84,188,4室1厅2卫,公寓,不齐全,近郊区,1506388.43
85,130,4室2厅1卫,公寓,齐全,远郊区,1469718.2
86,185,1室2厅1卫,公寓,不齐全,市中心,2033102.27
87,82,1室1厅2卫,公寓,不齐全,市中心,891250.49
88,172,2室2厅1卫,普通住宅,齐全,近郊区,2443904.35
89,54,2室2厅2卫,复式,齐全,远郊区,635743.92
90,90,2室2厅2卫,普通住宅,不齐全,近郊区,1038597.23
91,77,1室2厅1卫,复式,部分齐全,近郊区,1172082.37
92,184,2室2厅1卫,公寓,不齐全,远郊区,1237113.34
93,121,1室1厅2卫,公寓,不齐全,近郊区,1062793.66
94,61,3室1厅2卫,别墅,不齐全,市中心,1408783.58
95,82,2室2厅2卫,别墅,部分齐全,远郊区,1210069.56
96,97,3室1厅1卫,普通住宅,部分齐全,近郊区,1178133.98
97,111,4室2厅1卫,普通住宅,部分齐全,市中心,1735209.34
98,86,1室2厅1卫,复式,齐全,远郊区,1050571.15
99,148,3室1厅2卫,复式,不齐全,近郊区,1996272.5
100,153,4室1厅1卫,别墅,齐全,近郊区,3184707.2
101,84,1室1厅1卫,别墅,部分齐全,市中心,1952499.78
102,150,3室1厅2卫,复式,部分齐全,远郊区,1494525.07
103,180,2室1厅2卫,普通住宅,不齐全,近郊区,1849741.36
104,50,3室1厅2卫,复式,齐全,市中心,847885.88
105,54,2室1厅1卫,普通住宅,部分齐全,市中心,800449.13
106,191,3室2厅1卫,复式,齐全,近郊区,3041410.79
107,152,2室1厅1卫,公寓,部分齐全,近郊区,1653134.53
108,76,4室1厅1卫,公寓,不齐全,远郊区,467276.94
109,186,3室2厅1卫,普通住宅,齐全,市中心,2358588.71
110,64,3室1厅1卫,普通住宅,不齐全,市中心,770325.16
111,139,4室1厅2卫,普通住宅,齐全,远郊区,1212950.08
112,91,2室1厅2卫,别墅,不齐全,近郊区,1221404.02
113,173,3室2厅1卫,别墅,部分齐全,远郊区,2687080.28
114,112,2室1厅1卫,复式,部分齐全,远郊区,1430228.86
115,145,4室2厅2卫,别墅,齐全,远郊区,2147960.61
116,101,1室2厅2卫,复式,不齐全,远郊区,954795.8
117,145,4室2厅1卫,复式,部分齐全,远郊区,1591565.89
118,181,1室2厅1卫,复式,不齐全,市中心,2658653.87
119,192,3室1厅1卫,普通住宅,不齐全,近郊区,2043178.87
120,78,4室2厅2卫,公寓,部分齐全,市中心,1168642.84
121,85,4室1厅2卫,别墅,不齐全,远郊区,968695.41
122,62,2室2厅1卫,复式,部分齐全,市中心,1153504.87
123,120,4室1厅1卫,公寓,部分齐全,近郊区,1446875.74
124,135,3室2厅1卫,复式,不齐全,近郊区,1850205.47
125,77,3室2厅1卫,普通住宅,部分齐全,远郊区,735610.79
126,115,3室2厅2卫,复式,齐全,近郊区,2162032.56
127,94,3室2厅2卫,别墅,部分齐全,近郊区,2072172.4
128,111,2室1厅2卫,公寓,部分齐全,远郊区,971753.55
129,183,4室1厅2卫,普通住宅,不齐全,市中心,2359938.47
130,77,4室1厅2卫,复式,部分齐全,市中心,1397771.06
131,77,3室1厅2卫,别墅,不齐全,远郊区,961866.93
132,157,3室2厅2卫,别墅,齐全,市中心,3949870.55
133,93,4室1厅2卫,普通住宅,部分齐全,远郊区,665951.96
134,133,2室1厅2卫,别墅,齐全,远郊区,2023170.24
135,79,3室1厅1卫,别墅,部分齐全,远郊区,1169140.58
136,124,3室1厅1卫,别墅,齐全,市中心,3044235.2
137,177,2室1厅1卫,别墅,部分齐全,市中心,4094450.1
138,141,2室2厅1卫,复式,不齐全,近郊区,1763227.71
139,178,4室2厅1卫,普通住宅,齐全,远郊区,1970084.94
140,170,4室2厅2卫,公寓,不齐全,远郊区,1146964.74
141,76,2室1厅1卫,公寓,不齐全,远郊区,581663.14
142,170,1室2厅1卫,别墅,齐全,市中心,3200464.3
143,165,2室2厅1卫,复式,部分齐全,近郊区,2774441.8
144,52,2室1厅2卫,别墅,部分齐全,市中心,1398989.43
145,152,2室2厅2卫,别墅,部分齐全,远郊区,2390342.19
146,186,4室2厅2卫,复式,不齐全,远郊区,1455734.77
147,111,2室2厅2卫,普通住宅,不齐全,市中心,1540220.91
148,100,3室1厅2卫,公寓,齐全,近郊区,1164374.85
149,108,4室1厅2卫,复式,不齐全,市中心,1305324.37
150,167,4室1厅2卫,公寓,部分齐全,远郊区,1526266.76
151,145,2室2厅2卫,复式,齐全,远郊区,2038997.33
152,162,3室1厅1卫,复式,部分齐全,远郊区,1457461.78
153,111,2室1厅2卫,别墅,齐全,市中心,2945888.19
154,101,2室1厅1卫,普通住宅,部分齐全,市中心,1658013.05
155,61,4室2厅2卫,公寓,不齐全,近郊区,639224.38
156,88,4室2厅1卫,普通住宅,不齐全,市中心,1212144.33
157,179,2室2厅2卫,别墅,部分齐全,远郊区,1898466.01
158,180,1室2厅2卫,复式,齐全,市中心,3917871.08
159,162,1室2厅2卫,公寓,不齐全,近郊区,1437610.06
160,150,4室2厅1卫,普通住宅,齐全,近郊区,2143215.79
161,162,4室1厅2卫,公寓,部分齐全,近郊区,1792025.45
162,130,4室2厅1卫,公寓,部分齐全,近郊区,1399340.34
163,162,4室2厅2卫,公寓,部分齐全,近郊区,1876626.4
164,51,2室2厅1卫,普通住宅,齐全,远郊区,479348.61
165,179,1室2厅1卫,公寓,不齐全,远郊区,1203388.19
166,103,1室2厅1卫,普通住宅,部分齐全,远郊区,841350.02
167,136,4室1厅1卫,复式,齐全,近郊区,1870429.85
168,178,3室2厅2卫,普通住宅,不齐全,市中心,2391151.01
169,196,2室2厅2卫,别墅,不齐全,市中心,3713310.49
170,175,3室2厅2卫,公寓,齐全,市中心,2532164.38
171,179,4室2厅1卫,别墅,部分齐全,市中心,4468559.03
172,102,4室1厅1卫,别墅,不齐全,市中心,1663570.75
173,117,3室1厅1卫,复式,齐全,市中心,1931677.91
174,172,1室1厅1卫,复式,齐全,远郊区,1992083.25
175,194,2室1厅1卫,普通住宅,不齐全,远郊区,1503518.11
176,87,2室1厅2卫,普通住宅,齐全,近郊区,1191894.61
177,73,1室1厅2卫,公寓,部分齐全,远郊区,482620.88
178,118,3室2厅1卫,别墅,齐全,远郊区,1982872.67
179,165,1室1厅2卫,复式,齐全,远郊区,1940438.27
180,147,1室1厅2卫,复式,齐全,市中心,2692788.6
181,188,4室2厅1卫,公寓,齐全,远郊区,1557581.69
182,193,1室1厅1卫,复式,不齐全,市中心,3246719.44
183,146,3室1厅1卫,别墅,部分齐全,市中心,3572111.54
184,173,3室2厅2卫,别墅,齐全,远郊区,2772758.4
185,119,1室2厅1卫,公寓,齐全,市中心,1749474.35
186,142,4室2厅1卫,别墅,齐全,近郊区,3299577.04
187,52,4室2厅2卫,普通住宅,齐全,市中心,844230.98
188,197,2室2厅1卫,别墅,不齐全,远郊区,2425803.91
189,196,3室2厅2卫,普通住宅,不齐全,近郊区,2220036.67
190,139,4室2厅2卫,复式,部分齐全,市中心,2560308.79
191,196,2室1厅2卫,普通住宅,不齐全,远郊区,1557620.06
192,197,4室1厅2卫,公寓,齐全,远郊区,1657427.58
193,145,4室2厅1卫,公寓,不齐全,近郊区,1284749.15
194,101,4室2厅1卫,公寓,齐全,远郊区,885509.02
195,177,4室1厅2卫,公寓,部分齐全,远郊区,1505564.57
196,88,3室2厅2卫,公寓,部分齐全,近郊区,1062476.53
197,131,3室1厅1卫,别墅,不齐全,市中心,2699787.93
198,153,1室1厅2卫,复式,部分齐全,近郊区,1908712.85
199,178,4室1厅2卫,普通住宅,部分齐全,近郊区,2245170.6
200,60,4室2厅1卫,普通住宅,不齐全,近郊区,759879.65
201,91,1室2厅1卫,复式,部分齐全,市中心,1687591.31
202,148,4室1厅2卫,公寓,部分齐全,市中心,1654379.44
203,56,3室2厅2卫,公寓,齐全,市中心,840924.53
204,193,4室2厅2卫,普通住宅,不齐全,市中心,2475521.2
205,139,4室2厅2卫,公寓,部分齐全,市中心,1875035.26
206,161,3室1厅1卫,别墅,部分齐全,近郊区,3357223.41
207,109,2室2厅1卫,别墅,齐全,市中心,3234772.98
208,162,2室1厅1卫,别墅,不齐全,近郊区,2799314.16
209,51,4室2厅2卫,复式,齐全,近郊区,839989.03
210,178,1室1厅2卫,复式,齐全,市中心,3979119.49
211,97,2室2厅1卫,别墅,不齐全,远郊区,1010514.67
212,189,3室1厅1卫,复式,部分齐全,远郊区,1949994.74
213,86,3室1厅1卫,别墅,部分齐全,市中心,1924175.99
214,58,3室1厅2卫,公寓,不齐全,市中心,661928.93
215,148,1室1厅2卫,复式,齐全,市中心,3124423.83
216,196,4室2厅2卫,别墅,不齐全,市中心,4032464.63
217,97,3室1厅1卫,复式,部分齐全,近郊区,1307082.02
218,180,3室2厅1卫,普通住宅,部分齐全,远郊区,1741371.59
219,197,1室2厅2卫,普通住宅,不齐全,近郊区,1919613.91
220,103,1室1厅1卫,别墅,齐全,远郊区,1597313.63
221,169,2室2厅1卫,别墅,部分齐全,近郊区,3397077.48
222,165,2室1厅2卫,别墅,齐全,近郊区,3456208.88
223,124,2室2厅2卫,普通住宅,不齐全,市中心,1568264.11
224,162,4室2厅2卫,复式,不齐全,近郊区,2334396.92
225,153,3室1厅1卫,普通住宅,部分齐全,近郊区,1808250.45
226,133,2室1厅2卫,别墅,部分齐全,市中心,3440532.41
227,161,1室1厅1卫,别墅,不齐全,远郊区,2039592.94
228,148,2室1厅1卫,别墅,齐全,远郊区,2756702.46
229,142,1室2厅2卫,别墅,齐全,近郊区,3084220.92
230,195,4室2厅1卫,别墅,不齐全,远郊区,2588956.75
231,177,2室2厅2卫,别墅,齐全,近郊区,4139124.64
232,159,4室1厅1卫,公寓,部分齐全,近郊区,1709691.11
233,131,3室1厅2卫,公寓,不齐全,远郊区,842417.96
234,103,1室1厅1卫,公寓,齐全,远郊区,836775.06
235,117,3室1厅1卫,普通住宅,部分齐全,远郊区,974165.62
236,82,1室1厅2卫,复式,部分齐全,远郊区,816826.31
237,191,3室2厅1卫,别墅,不齐全,远郊区,2436542.92
238,70,4室2厅2卫,公寓,部分齐全,远郊区,535556.86
239,97,3室2厅2卫,普通住宅,齐全,远郊区,963739.13
240,197,1室1厅2卫,复式,不齐全,远郊区,1829179.0
241,177,3室2厅1卫,别墅,部分齐全,市中心,4237510.73
242,185,1室1厅1卫,别墅,齐全,远郊区,2997874.91
243,184,3室1厅1卫,复式,部分齐全,市中心,3223366.18
244,194,4室2厅2卫,复式,部分齐全,近郊区,3145650.11
245,177,2室2厅2卫,复式,不齐全,近郊区,2625144.44
246,82,1室2厅2卫,普通住宅,部分齐全,市中心,1234290.79
247,164,4室2厅2卫,公寓,部分齐全,市中心,2057170.77
248,168,1室1厅2卫,别墅,齐全,远郊区,2443874.54
249,71,4室2厅2卫,公寓,部分齐全,远郊区,565308.98
250,87,4室1厅2卫,复式,部分齐全,近郊区,1235536.17
251,158,1室2厅2卫,别墅,齐全,远郊区,2227496.97
252,100,3室1厅2卫,别墅,部分齐全,市中心,2441200.74
253,57,1室2厅2卫,公寓,不齐全,远郊区,379249.35
254,76,1室1厅2卫,公寓,部分齐全,近郊区,811838.7
255,76,4室2厅1卫,别墅,部分齐全,远郊区,1237888.49
256,70,2室2厅1卫,普通住宅,部分齐全,远郊区,596779.5
257,79,3室2厅2卫,复式,部分齐全,市中心,1314350.13
258,146,1室1厅1卫,公寓,部分齐全,市中心,1819206.33
259,77,2室2厅1卫,别墅,齐全,近郊区,1730431.66
260,160,4室1厅1卫,公寓,不齐全,近郊区,1564514.13
261,110,1室2厅1卫,别墅,齐全,近郊区,2391262.1
262,97,2室2厅2卫,普通住宅,不齐全,近郊区,916154.86
263,196,3室2厅2卫,公寓,不齐全,近郊区,1948224.11
264,53,4室1厅2卫,别墅,齐全,近郊区,1237031.89
265,84,2室2厅1卫,公寓,齐全,市中心,1132516.06
266,98,2室1厅2卫,别墅,不齐全,近郊区,1593648.33
267,66,4室2厅2卫,复式,部分齐全,近郊区,1209136.27
268,95,1室2厅2卫,别墅,齐全,远郊区,1376678.81
269,166,4室1厅2卫,别墅,不齐全,市中心,2864177.83
270,55,4室2厅2卫,别墅,部分齐全,远郊区,920097.47
271,148,4室2厅2卫,别墅,部分齐全,远郊区,2422325.93
272,173,2室1厅2卫,复式,齐全,市中心,3349106.32
273,86,2室2厅1卫,普通住宅,齐全,近郊区,1084212.49
274,73,3室2厅2卫,复式,不齐全,远郊区,621813.32
275,142,4室1厅2卫,普通住宅,齐全,近郊区,1861572.47
276,95,1室1厅2卫,普通住宅,部分齐全,市中心,1529024.49
277,144,1室2厅1卫,复式,齐全,远郊区,1641820.75
278,148,4室1厅1卫,公寓,齐全,远郊区,1412899.0
279,165,4室1厅1卫,普通住宅,部分齐全,市中心,2536525.95
280,116,4室2厅2卫,复式,部分齐全,市中心,2337633.22
281,177,4室1厅2卫,别墅,齐全,远郊区,2685964.13
282,67,4室2厅2卫,复式,不齐全,远郊区,633170.62
283,74,1室1厅1卫,普通住宅,不齐全,远郊区,442961.72
284,103,3室1厅1卫,公寓,不齐全,市中心,1101831.88
285,107,4室1厅1卫,公寓,不齐全,近郊区,1093964.42
286,116,4室1厅2卫,公寓,部分齐全,近郊区,1134858.1
287,153,1室1厅2卫,别墅,部分齐全,近郊区,2661794.47
288,73,1室2厅2卫,复式,部分齐全,近郊区,1150933.16
289,163,3室2厅1卫,复式,部分齐全,市中心,3170596.5
290,81,2室2厅1卫,公寓,不齐全,市中心,981906.7
291,135,2室1厅1卫,别墅,不齐全,近郊区,1929511.5
292,176,4室1厅2卫,公寓,齐全,远郊区,1959100.49
293,179,2室1厅2卫,普通住宅,部分齐全,远郊区,1372970.9
294,66,3室2厅2卫,复式,齐全,市中心,1385423.57
295,153,1室2厅2卫,别墅,不齐全,近郊区,2458789.85
296,186,2室1厅2卫,公寓,齐全,市中心,2375323.5
297,92,3室2厅2卫,别墅,齐全,近郊区,1883779.32
298,88,3室2厅2卫,普通住宅,齐全,近郊区,1146144.22
299,75,2室2厅2卫,普通住宅,部分齐全,远郊区,618150.84
300,148,1室1厅2卫,复式,部分齐全,远郊区,1781771.38
301,99,3室2厅2卫,别墅,不齐全,远郊区,1215597.57
302,62,1室2厅2卫,公寓,齐全,市中心,777882.57
303,109,1室1厅2卫,公寓,部分齐全,远郊区,734782.41
304,184,3室1厅2卫,公寓,不齐全,远郊区,1340469.93
305,106,2室1厅2卫,复式,部分齐全,市中心,1671429.53
306,85,2室1厅1卫,普通住宅,部分齐全,市中心,1263993.28
307,69,3室2厅1卫,公寓,部分齐全,市中心,962541.82
308,114,3室1厅1卫,复式,部分齐全,远郊区,1140802.75
309,57,3室2厅2卫,复式,不齐全,近郊区,803447.91
310,193,2室1厅1卫,复式,不齐全,远郊区,1508133.33
311,191,3室2厅1卫,复式,部分齐全,近郊区,2941817.26
312,164,3室2厅2卫,复式,部分齐全,市中心,3082819.76
313,192,3室1厅2卫,复式,齐全,远郊区,2331129.79
314,141,1室1厅1卫,普通住宅,部分齐全,远郊区,1065474.25
315,147,4室2厅1卫,普通住宅,齐全,近郊区,1731146.4
316,115,4室1厅2卫,公寓,部分齐全,远郊区,1080848.35
317,81,1室2厅2卫,别墅,不齐全,远郊区,1112569.4
318,135,3室2厅2卫,普通住宅,不齐全,远郊区,1106047.57
319,100,1室1厅2卫,别墅,齐全,市中心,2826156.6
320,112,1室2厅1卫,公寓,不齐全,近郊区,1091528.92
321,174,1室2厅2卫,普通住宅,不齐全,远郊区,1260175.39
322,199,4室1厅1卫,普通住宅,不齐全,近郊区,2014317.2
323,107,1室1厅2卫,公寓,不齐全,市中心,1024854.41
324,107,4室1厅1卫,公寓,不齐全,市中心,1213948.86
325,135,2室1厅2卫,别墅,齐全,近郊区,3150206.75
326,98,4室2厅2卫,别墅,部分齐全,远郊区,1345110.99
327,119,2室2厅1卫,公寓,部分齐全,远郊区,1041270.17
328,64,4室2厅2卫,普通住宅,部分齐全,市中心,966777.14
329,103,1室2厅1卫,复式,不齐全,市中心,1395272.04
330,150,4室2厅1卫,别墅,不齐全,市中心,2774623.02
331,57,3室1厅2卫,公寓,部分齐全,市中心,831277.79
332,102,3室1厅2卫,普通住宅,不齐全,远郊区,813261.25
333,109,3室1厅1卫,普通住宅,部分齐全,市中心,1602419.6
334,157,4室1厅1卫,别墅,齐全,近郊区,3216473.23
335,54,1室1厅2卫,别墅,部分齐全,近郊区,1040423.22
336,152,2室1厅1卫,复式,不齐全,近郊区,2080460.27
337,55,1室1厅1卫,别墅,部分齐全,远郊区,884665.73
338,158,2室2厅1卫,复式,部分齐全,近郊区,2697902.82
339,165,1室2厅1卫,公寓,不齐全,近郊区,1537771.67
340,143,2室2厅1卫,别墅,齐全,远郊区,2199360.11
341,96,1室1厅1卫,复式,齐全,市中心,1938300.26
342,148,1室2厅1卫,别墅,不齐全,市中心,3148433.9
343,104,3室1厅1卫,公寓,部分齐全,市中心,1447201.87
344,101,3室1厅1卫,公寓,部分齐全,市中心,1511007.1
345,193,4室1厅1卫,复式,不齐全,市中心,3747705.65
346,62,4室2厅2卫,普通住宅,不齐全,远郊区,467494.26
347,163,1室2厅1卫,公寓,不齐全,近郊区,1780415.09
348,173,1室2厅2卫,公寓,部分齐全,市中心,2557090.95
349,155,1室1厅2卫,公寓,齐全,近郊区,1761705.06
350,196,4室2厅1卫,公寓,齐全,近郊区,2662272.84
351,194,4室2厅1卫,普通住宅,齐全,近郊区,2945778.43
352,169,1室2厅1卫,公寓,部分齐全,远郊区,1267584.05
353,112,1室1厅2卫,普通住宅,齐全,市中心,2074450.88
354,68,3室2厅2卫,别墅,部分齐全,远郊区,1096563.97
355,141,4室2厅1卫,普通住宅,部分齐全,近郊区,2069070.16
356,107,1室1厅2卫,复式,不齐全,市中心,1611206.84
357,139,4室1厅2卫,别墅,部分齐全,市中心,3253978.62
358,166,3室2厅2卫,普通住宅,不齐全,远郊区,1009484.66
359,111,4室1厅2卫,普通住宅,部分齐全,远郊区,1044107.65
360,72,4室2厅2卫,普通住宅,不齐全,近郊区,766763.27
361,176,3室1厅2卫,普通住宅,不齐全,近郊区,1673243.73
362,186,1室1厅1卫,普通住宅,部分齐全,近郊区,2106851.99
363,189,1室2厅1卫,普通住宅,部分齐全,近郊区,1893682.26
364,178,3室1厅1卫,复式,部分齐全,市中心,3692033.23
365,107,3室1厅2卫,复式,部分齐全,远郊区,1141651.93
366,171,3室2厅1卫,复式,不齐全,远郊区,2153173.27
367,50,3室2厅2卫,普通住宅,不齐全,市中心,624419.13
368,83,1室1厅1卫,别墅,不齐全,市中心,1535682.6
369,145,4室1厅1卫,复式,部分齐全,远郊区,1559687.32
370,175,3室2厅1卫,公寓,部分齐全,近郊区,1605825.89
371,167,3室1厅2卫,公寓,齐全,远郊区,1536413.43
372,97,1室2厅1卫,普通住宅,齐全,远郊区,880234.02
373,138,2室2厅2卫,别墅,齐全,远郊区,2426788.0
374,166,3室2厅1卫,复式,齐全,市中心,3306145.49
375,178,2室1厅2卫,普通住宅,不齐全,市中心,2527769.65
376,65,1室1厅1卫,别墅,齐全,市中心,1789005.77
377,118,1室1厅2卫,公寓,不齐全,市中心,1329166.15
378,71,4室2厅2卫,复式,部分齐全,市中心,1566383.02
379,142,2室2厅2卫,普通住宅,不齐全,远郊区,1175078.75
380,125,3室1厅1卫,普通住宅,不齐全,近郊区,1614910.59
381,193,2室1厅1卫,别墅,不齐全,市中心,3742227.49
382,135,1室2厅2卫,普通住宅,齐全,市中心,2168250.99
383,78,4室2厅2卫,普通住宅,齐全,市中心,1479363.94
384,118,4室2厅1卫,复式,齐全,远郊区,1237692.81
385,96,1室2厅2卫,公寓,部分齐全,远郊区,862405.42
386,143,1室2厅2卫,公寓,齐全,远郊区,1297857.96
387,193,3室1厅1卫,别墅,齐全,近郊区,3669372.93
388,134,4室1厅1卫,公寓,齐全,近郊区,1354380.41
389,88,2室2厅1卫,别墅,部分齐全,市中心,1954702.95
390,149,2室2厅2卫,复式,不齐全,市中心,1842425.82
391,82,3室1厅1卫,别墅,齐全,市中心,2034025.02
392,150,4室2厅1卫,公寓,齐全,近郊区,1882232.0
393,72,2室2厅1卫,普通住宅,部分齐全,市中心,997908.46
394,59,3室1厅2卫,复式,不齐全,市中心,1076884.32
395,118,1室2厅1卫,公寓,齐全,远郊区,1184792.46
396,149,4室1厅2卫,复式,齐全,近郊区,2778488.03
397,83,4室2厅2卫,别墅,部分齐全,远郊区,1247955.19
398,187,3室1厅2卫,公寓,不齐全,远郊区,985868.54
399,196,1室2厅1卫,普通住宅,齐全,远郊区,1725928.02
400,145,4室2厅1卫,普通住宅,齐全,远郊区,1393034.65
